"Url";"Comment";"Date"
"https://v.youku.com/v_show/id_XNTAxODQxNDQ0NA==.html";"N/A";"2020-12-21"
"https://v.youku.com/v_show/id_XMzQ1MzQ0NDM0MA==.html";"N/A";"2018-03-10"
"https://v.youku.com/v_show/id_XNTA3NTU4ODky.html";"N/A";"2013-01-27"
"https://v.youku.com/v_show/id_XNDI2NzY5NDE0NA==.html";"N/A";"2019-07-10"
"https://v.youku.com/v_show/id_XMTQ3MzAyMTc2MA==.html";"沙发;"2016-02-16"
"https://v.youku.com/v_show/id_XMjUwNzgwMzQ2MA==.html";"N/A";"2017-02-12"
"https://v.youku.com/v_show/id_XMjcyMDk3NjMwOA==.html";"有剧本吗？;"2017-04-21"
"https://v.youku.com/v_show/id_XMjcyMDk3NjMwOA==.html";"求剧本;"2017-04-21"
"https://v.youku.com/v_show/id_XMjcyMDk3NjMwOA==.html";"求剧本;"2017-04-21"
"https://v.youku.com/v_show/id_XMjcyMDk3NjMwOA==.html";"有剧本吗？;"2017-04-21"
"https://v.youku.com/v_show/id_XNDYyMzg4MDQ2MA==.html";"N/A";"2020-04-08"
"https://v.youku.com/v_show/id_XMzkyMzczMzI2OA==.html";"N/A";"2018-11-20"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"真情的演奏！！;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"演绎细腻、真挚、委婉，缓若潺潺流水、急如野马脱缰！;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"什么都是最优版本了，没有最优，江山自有才人出。;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"这应该是梁祝最优版本了;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"什么都是最优版本了，没有最优，江山自有才人出。;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"演奏得不错，但比西崎崇子差点。;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"演绎细腻、真挚、委婉，缓若潺潺流水、急如野马脱缰！;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"太棒了！！谢谢艺术家们！！;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"这应该是梁祝最优版本了;"2018-08-30"
"https://v.youku.com/v_show/id_XMzc5ODAwNDI2MA==.html";"真情的演奏！！;"2018-08-30"
"https://v.youku.com/v_show/id_XMTM4NzQwODgw.html";"N/A";"2009-12-15"
"https://v.youku.com/v_show/id_XNDA1ODc1MzA4OA==.html";"N/A";"2019-02-13"
"https://v.youku.com/v_show/id_XMzMxOTQwMzM2.html";"N/A";"2011-12-13"
"https://v.youku.com/v_show/id_XNzEwNjg4MjQ4.html";"N/A";"2014-05-11"
"https://v.youku.com/v_show/id_XNTAzNTk4NjYyMA==.html";"N/A";"2020-12-31"
"https://v.youku.com/v_show/id_XMjUyOTE1NzQ5Mg==.html";"N/A";"2017-02-25"
"https://v.youku.com/v_show/id_XMjc2NzA0ODIw.html";"N/A";"2011-06-16"
"https://v.youku.com/v_show/id_XMTk2MDc4NDQ=.html";"没想到优酷还有啊;"2008-02-28"
"https://v.youku.com/v_show/id_XMTk2MDc4NDQ=.html";"好看;"2008-02-28"
"https://v.youku.com/v_show/id_XOTE2NzUzOTE2.html";"N/A";"2015-03-22"
"https://v.youku.com/v_show/id_XNTAzMDk1NjUyNA==.html";"N/A";"2020-12-28"
