Url,Alexa Rank
http://monochromemagazine.net/,Fail
http://www.espn5.com/,Fail
http://www.executivestyle.com.au/,Fail
http://www.kronomedia.eu/,Fail
https://biph.ch/,Fail
https://deployant.com/,Fail
https://magazine-premium.com/,Fail
https://moonphase.fr/,Fail
https://nymag.com/,Fail
https://therakejapan.com/,Fail
https://timezonemag.com/,Fail
https://watchdigest.it/,Fail
https://www.arbiter.it/,Fail
https://www.gmtmag.com/,Fail
https://www.hodinkee.com/,Fail
https://www.living-magazines.co.uk/our-magazines/prestige,Fail
https://www.orologioblog.net/,Fail
"https://www.parislegendschampionship.com""",Fail
https://www.timeandtidemagazine.org/,Fail
https://www.topclassmagazine.com/,Fail
https://www.tribunedesarts.ch/,Fail
https://www.voxcapital.com,Fail
https://www.watch-around.swiss/,Fail
https://www.wowmag.co.uk/,Fail
https://www.macomag.com/,"10,097,910"
https://divermag.com/,"7,978,379"
https://www.mare.de/,"7,089,729"
https://watchanish.com/,"6,496,758"
https://jfk.men/,"6,256,787"
https://www.kristianhaagen.com/,"6,103,807"
https://www.blackmagazine.co.nz/,"5,678,416"
https://www.sparknews.com/en/,"5,618,758"
https://ch24.pl/,"5,087,785"
https://tempusmagazine.co.uk/,"5,087,625"
https://www.socialter.fr/,"4,650,082"
http://www.maquinasdeltiempo.com/,"4,468,813"
https://www.spend-in.com/,"4,211,639"
https://www.0024watchworld.com/,"3,677,881"
https://wearchronos.com/,"3,651,809"
https://marqueemagazine.ca/,"3,475,809"
https://www.jamaqueparadis.com/,"3,440,257"
https://www.mpp-me.com/,"3,195,336"
https://www.theluxecafe.com/,"2,530,766"
http://www.leguidedesmontres.com/,"2,449,071"
https://www.atimelyperspective.com/,"2,328,245"
https://www.roulartamedia.be/en/brands/magazines/trends-style,"2,157,942"
https://www.my-watchsite.com/,"1,552,183"
https://horasyminutos.com/,"1,294,119"
https://squaremile.com/,"1,205,117"
https://www.rfigroup.com/rfi-media/magazines,"1,023,441"
https://www.businessworld.ie/,"1,015,951"
https://www.eos-magazine.com/,"1,010,719"
https://senatus.net/,"982,516"
https://www.iconeye.com/,"971,832"
https://www.stylemagazin.hu/,"948,139"
https://motivatemedia.com/,"943,402"
https://www.rolexmagazine.com/,"853,566"
https://www.europastar.com/,"852,716"
http://www.lacotedesmontres.com/,"836,269"
https://www.arena.co.kr/index.asp,"832,347"
https://www.explorers.org/,"778,250"
https://www.lofficiel.co.uk/,"718,974"
https://www.ewmagazine.nl/,"630,627"
https://www.lofficiel.com/categories/horlogerie/?fbclid=IwAR03CXfVyQYit_SAZ4YAlpgWSp9Gi7mMNjvKvexgzgp9k8GXdGDEtQRYMDU,"597,619"
https://www.hautetime.com/,"576,228"
https://www.lagardere.com/group/home-page-site-284.html,"540,692"
https://indonesiatatler.com/,"525,020"
https://journal.hautehorlogerie.org/en/,"440,430"
https://www.thailandtatler.com/,"371,371"
https://www.tsingapore.com/,"368,591"
https://www.gentside.co.uk/,"364,939"
https://watchesbysjx.com/,"269,329"
https://www.dnamagazine.com.au/,"255,688"
http://en.worldtempus.com/,"255,160"
https://quillandpad.com/,"231,504"
https://www.bebitalia.com/en/sabato-supplement-lechode-tijd-belgium,"209,129"
https://www.luxuryfacts.com/,"203,579"
https://www.revolution.watch/magazine/,"198,971"
https://www.watchonista.com/,"194,919"
https://www.webchronos.net/,"171,672"
https://www.watchpro.com/qp-magazine-and-salon-qp-closed-by-hearst/,"160,671"
https://www.watchtime.net/,"147,133"
https://www.watchtime.net/zeitschriften/uhren-magazin/,"147,133"
https://www.meioemensagem.com.br/,"146,547"
https://www.bilan.ch/luxe,"128,021"
https://www.itp.com/,"124,331"
https://www.capital.de/tools-rechner/uhrenkompass,"122,091"
"https://www.hoddereducation.co.uk/subjects/economics/products/16-18/economic-review-emagazine-volume-38,-2020-21","120,560"
https://www.lopinion.fr/,"119,915"
https://www.fratellowatches.com/#gref,"117,157"
https://www.evo.co.uk/,"113,075"
https://www.businesstraveller.com/,"105,058"
https://monocle.com/magazine/,"90,307"
https://www.thegentlemansjournal.com/,"84,412"
https://www.lifeandstylemag.com/,"82,529"
https://www.jckonline.com/,"71,920"
https://www.handelszeitung.ch/,"69,424"
https://www.handelszeitung.ch/bilanz,"69,424"
https://www.sciencesetavenir.fr/,"65,956"
https://www.topgear.com.ph/tag/rolex,"65,706"
https://www.cntraveller.com/,"61,367"
https://www.lejdd.fr/,"57,360"
https://www.bosshunting.com.au/,"56,902"
https://graziadaily.co.uk/,"56,235"
https://www.wallpaper.com/,"55,188"
https://www.telva.com/,"47,953"
https://www.parismatch.com/,"41,002"
https://www.wort.lu/,"31,775"
https://www.dmarge.com/,"30,374"
https://www.gala.fr/,"28,000"
https://travel.virginaustralia.com/au/voyeur,"25,113"
https://www.goodmorningamerica.com/,"23,774"
https://www.letemps.ch/,"23,455"
https://www.gq-magazine.co.uk/,"22,448"
https://www.vogue.co.uk/,"21,353"
https://www.ablogtowatch.com/,"21,151"
https://www.businesstimes.com.sg/,"17,896"
https://www.wired.co.uk/,"17,469"
https://www.lexpress.fr/,"17,352"
https://www.capital.fr/,"17,070"
https://ph.asiatatler.com/,"16,909"
https://www.philstar.com/,"14,072"
https://robbreport.com/,"12,972"
https://wwd.com/,"10,332"
https://www.qantas.com/travelinsider/en/qantas-magazine.html,"9,583"
https://www.magzter.com/SG/SPH-Magazines-Pte-Ltd/The-Peak-Indonesia/Lifestyle/,"8,984"
https://www.estadao.com.br/,"8,161"
https://muckrack.com/johnny-davis,"7,516"
https://www.lepoint.fr/,"7,229"
https://nzzas.nzz.ch/,"7,089"
https://www.lesechos.fr/,"6,875"
https://www.hola.com/,"6,712"
https://www.standaard.be/plus/ds-magazine,"6,552"
https://www.townandcountrymag.com/uk/,"6,388"
https://www.goethe.de/ins/gb/en/kul/mag.html,"5,591"
https://fortune.com/,"5,302"
https://www.thejakartapost.com/,"5,146"
https://qz.com/,"4,682"
https://www.harpersbazaar.com/,"4,534"
https://www.business-standard.com/,"4,345"
https://www.menshealth.com/,"4,003"
https://crea.bunshun.jp/,"3,750"
https://www.lequipe.fr/,"3,531"
https://www.lequipe.fr/Sport-et-style/,"3,531"
https://www.folha.uol.com.br/,"3,476"
https://www.vanityfair.com/,"3,026"
https://www.esquire.com/,"2,917"
https://www.esquire.com/uk/,"2,917"
https://www.elle.com/,"2,768"
https://www.harrods.com/,"2,545"
https://www.smh.com.au/topic/good-weekend-1qq,"2,319"
https://www.theatlantic.com/,"1,523"
https://www.indiatoday.in/,"1,431"
https://www.ft.com/,"1,407"
https://www.lavanguardia.com/magazine,"1,373"
https://time.com/,"1,362"
https://www.telegraph.co.uk/luxury/watches/,"1,338"
https://www.telegraph.co.uk/telegraph-magazine/,"1,338"
https://www.elmundo.es/magazine.html,"1,180"
https://madame.lefigaro.fr/,"1,162"
https://www.lefigaro.fr/,"1,162"
https://www.lefigaro.fr/demain,"1,162"
https://www.lemonde.fr/afrique/,"1,095"
https://www.lemonde.fr/m-le-mag/,"1,095"
https://www.hindustantimes.com/,873
https://reuters.com/,436
https://www.wsj.com/,418
https://www.bloomberg.com/,410
https://www.forbes.com/,268
https://oglobo.globo.com/,214
https://oglobo.globo.com/ela/,214
https://revistapegn.globo.com/,214
https://www.washingtonpost.com/,159
https://economictimes.indiatimes.com/panache,146
https://timesofindia.indiatimes.com/,146
https://www.kompas.com/,102
https://www.nytimes.com/,74
https://www.nytimes.com/section/t-magazine,74
